,NAME,LATITUDE,LONGITUDE,hov_txt,CLOTHING,FOOD,HOUSEHOLD GOODS,HOUSING,TRAINING AND OTHER SERVICES,NOTES,WEBSITE,type,color
55,Blair-Lippincott Library,40.4417882,-79.9597071,"200 Lothrop St, Pittsburgh",,,,,1,,,TRAINING AND OTHER SERVICES,#ff00ff
56,Bloomcraft,40.4556599,-79.9529802,"460 Melwood Ave, Pittsburgh",,,,,1,,,TRAINING AND OTHER SERVICES,#ff00ff
57,Blue Sparrow,40.5019384,-80.0699124,"538 California Ave, Pittsburgh",,1,,,,,http://www.bluesparrowpgh.com/,TRAINING AND OTHER SERVICES,#ff00ff
58,Borland Garden,40.4672336,-79.9238719,"5806 Black St, Pittsburgh",,1,,,,,https://www.growpittsburgh.org/directory/garden/borland-green-cooperative-2,TRAINING AND OTHER SERVICES,#ff00ff
59,Brashear Association Inc Neighborhood Employment Center,40.4216183,-79.9945488,"730 E Warrington Ave #1565, Pittsburgh",,,,,1,,http://www.brashearassociation.org/,TRAINING AND OTHER SERVICES,#ff00ff
60,Brookline Community Center,40.3912355,-80.0083815,"1400 Brookline Blvd, Pittsburgh",,,,,1,,,TRAINING AND OTHER SERVICES,#ff00ff
61,Brookline Teen Outreach,40.3957838,-80.0231212,"520 Brookline Blvd, Pittsburgh",,,,,1,,http://www.brooklineteenoutreach.org/,TRAINING AND OTHER SERVICES,#ff00ff
62,Buffalo Exchange,40.428591,-79.985722,"1214 E Carson St #1a, Pittsburgh",1,,,,,,https://www.buffaloexchange.com/locations/pittsburgh/pittsburgh/,TRAINING AND OTHER SERVICES,#ff00ff
63,Buhl Library of Social Work,40.4426031,-79.9541564,Pittsburgh,,,,,1,,,TRAINING AND OTHER SERVICES,#ff00ff
64,Burlington,40.4416433,-79.9977976,"339 Sixth Ave, Pittsburgh",1,,,,,,https://www.burlington.com/,TRAINING AND OTHER SERVICES,#ff00ff
65,C.C. Mellor Memorial Library,40.4322898,-79.8852159,"1 Pennwood Ave #2, Pittsburgh",,,,,1,,http://www.ccmellorlibrary.org/,TRAINING AND OTHER SERVICES,#ff00ff
66,CHALFANT COMMUNITY CENTER,40.4084692,-79.8405067,"218 North Ave, East Pittsburgh",,,,,1,,,TRAINING AND OTHER SERVICES,#ff00ff
67,CHS,40.433459,-79.961298,"370 Lawn St, Pittsburgh",,,,1,,,https://chscorp.org/ourhistory,TRAINING AND OTHER SERVICES,#ff00ff
68,CHS,40.454241,-79.97815,"2525 Liberty Ave, Pittsburgh",,,,1,,,https://chscorp.org/ourhistory,TRAINING AND OTHER SERVICES,#ff00ff
69,CHS Food Pantry,40.4336242,-79.961441,"370 Lawn St, Pittsburgh",,1,,,,,,TRAINING AND OTHER SERVICES,#ff00ff
70,CHS Wood Street Commons,40.4389431,-80.0014349,"301 Third Avenue, Pittsburgh",,,,1,,,https://chscorp.org/service-area/program/shelter-program-wood-street-commons,TRAINING AND OTHER SERVICES,#ff00ff
71,CLP – Children's Department,40.4425803,-79.9503103,"Carnegie Museum & Library, 4400 Forbes Ave, Pittsburgh",,,,,1,,http://www.carnegielibrary.org/locations/childrens/,TRAINING AND OTHER SERVICES,#ff00ff
72,CMU Career and Professional Development Center (CPDC),40.4427215,-79.941043,"5000 Forbes Ave, Pittsburgh",,,,,1,,https://www.cmu.edu/career/,TRAINING AND OTHER SERVICES,#ff00ff
73,CNA,40.4394476,-79.9928695,"112 Washington Pl # 1400, Pittsburgh",,,,,1,,,TRAINING AND OTHER SERVICES,#ff00ff
74,CPR Certification Pittsburgh,40.4662502,-79.9644501,"3700 Butler St, Pittsburgh",,,,,1,,http://cprcertificationpittsburghpa.com/,TRAINING AND OTHER SERVICES,#ff00ff
75,Career & Workforce Development,40.4565449,-79.898268,"7140 Bennett St, Pittsburgh",,,,,1,,,TRAINING AND OTHER SERVICES,#ff00ff
76,Career Services Unlimited,40.4695358,-79.918254,"816 Sheridan Ave, Pittsburgh",,,,,1,,,TRAINING AND OTHER SERVICES,#ff00ff
77,Carlino Janice L,40.4294834,-79.924195,"5725 Forward Ave # 300, Pittsburgh",,,,,1,,,TRAINING AND OTHER SERVICES,#ff00ff
78,Carlow University - Grace Library,40.4391233,-79.9633371,"3333 Fifth Ave, Pittsburgh",,,,,1,,https://www.carlow.edu/grace-library/,TRAINING AND OTHER SERVICES,#ff00ff
79,Carnegie Free Library of Swissvale,40.4225531,-79.8911655,"1800 Monongahela Ave, Pittsburgh",,,,,1,,http://www.swissvalelibrary.org/,TRAINING AND OTHER SERVICES,#ff00ff
80,Carnegie Library of Pittsburgh - Allegheny,40.4563575,-80.0065961,"1230 Federal St, Pittsburgh",,,,,1,,http://carnegielibrary.org/,TRAINING AND OTHER SERVICES,#ff00ff
81,Carnegie Library of Pittsburgh - Beechview,40.4070437,-80.0277222,"1910 Broadway Ave, Pittsburgh",,,,,1,,https://carnegielibrary.org/,TRAINING AND OTHER SERVICES,#ff00ff
82,Carnegie Library of Pittsburgh - Carrick,40.397019,-79.987547,"1811 Brownsville Rd, Pittsburgh",,,,,1,,https://carnegielibrary.org/,TRAINING AND OTHER SERVICES,#ff00ff
83,Carnegie Library of Pittsburgh - Downtown,40.4417769,-79.9973738,"612 Smithfield St, Pittsburgh",,,,,1,,https://carnegielibrary.org/,TRAINING AND OTHER SERVICES,#ff00ff
84,Carnegie Library of Pittsburgh - East Liberty,40.4608869,-79.9265435,"130 S Whitfield St, Pittsburgh",,,,,1,,https://www.carnegielibrary.org/clp_location/east-liberty/,TRAINING AND OTHER SERVICES,#ff00ff
85,Carnegie Library of Pittsburgh - Hazelwood,40.4083096,-79.9437464,"5006 Second Avenue, Pittsburgh",,,,,1,,https://carnegielibrary.org/,TRAINING AND OTHER SERVICES,#ff00ff
86,Carnegie Library of Pittsburgh - Hill District,40.4455017,-79.9765364,"2177 Centre Ave, Pittsburgh",,,,,1,,https://www.carnegielibrary.org/,TRAINING AND OTHER SERVICES,#ff00ff
87,Carnegie Library of Pittsburgh - Homewood,40.455284,-79.899213,"7101 Hamilton Ave, Pittsburgh",,,,,1,,https://carnegielibrary.org/,TRAINING AND OTHER SERVICES,#ff00ff
88,Carnegie Library of Pittsburgh - Knoxville,40.4132232,-79.9891718,"400 Brownsville Rd, Pittsburgh",,,,,1,,https://www.carnegielibrary.org/clp_location/knoxville/,TRAINING AND OTHER SERVICES,#ff00ff
89,Carnegie Library of Pittsburgh - Lawrenceville,40.4676128,-79.9590515,"279 Fisk St, Pittsburgh",,,,,1,,https://www.carnegielibrary.org/,TRAINING AND OTHER SERVICES,#ff00ff
90,Carnegie Library of Pittsburgh - Main (Oakland),40.4428299,-79.9504321,"4400 Forbes Ave Carnegie Lecture Hall, Pittsburgh",,,,,1,,https://carnegielibrary.org/,TRAINING AND OTHER SERVICES,#ff00ff
91,Carnegie Library of Pittsburgh - Mt. Washington,40.4335616,-80.0104346,"315 Grandview Ave, Pittsburgh",,,,,1,,https://www.carnegielibrary.org/,TRAINING AND OTHER SERVICES,#ff00ff
92,Carnegie Library of Pittsburgh - Sheraden,40.455194,-80.0565265,"720 Sherwood Ave, Pittsburgh",,,,,1,,https://www.carnegielibrary.org/,TRAINING AND OTHER SERVICES,#ff00ff
93,Carnegie Library of Pittsburgh - South Side,40.4286799,-79.9742695,"2205 E Carson St, Pittsburgh",,,,,1,,https://carnegielibrary.org/,TRAINING AND OTHER SERVICES,#ff00ff
94,Carnegie Library of Pittsburgh - Squirrel Hill,40.4381637,-79.9227914,"5801 Forbes Ave, Pittsburgh",,,,,1,,https://carnegielibrary.org/,TRAINING AND OTHER SERVICES,#ff00ff
95,Carnegie Library of Pittsburgh - West End,40.4400573,-80.0340451,"47 Wabash St, Pittsburgh",,,,,1,,https://carnegielibrary.org/,TRAINING AND OTHER SERVICES,#ff00ff
96,Carnegie Library of Pittsburgh - Woods Run,40.476254,-80.0302044,"1201 Woods Run Ave, Pittsburgh",,,,,1,,https://www.carnegielibrary.org/,TRAINING AND OTHER SERVICES,#ff00ff
97,Carnegie Library of Pittsburgh Brookline,40.3944049,-80.021441,"708 Brookline Blvd, Pittsburgh",,,,,1,,https://carnegielibrary.org/,TRAINING AND OTHER SERVICES,#ff00ff
98,Carnegie Mellon University - Sorrells Engineering and Science Library,40.442647,-79.945784,"4400 Wean Hall #4, Pittsburgh",,,,,1,,http://search.library.cmu.edu/,TRAINING AND OTHER SERVICES,#ff00ff
99,Catholic Charities,40.4431913,-79.998224,"212 9th St, Pittsburgh",,,,1,,,http://www.ccpgh.org/,TRAINING AND OTHER SERVICES,#ff00ff
100,Center for Victims,40.421085,-79.958044,"3433 E Carson St, Pittsburgh",,,,1,,,http://www.centerforvictims.org/,TRAINING AND OTHER SERVICES,#ff00ff
101,Centex Brysco Food Services Co,40.4334689,-80.1314218,"809 Parkway View Dr, Pittsburgh",,1,,,,,,TRAINING AND OTHER SERVICES,#ff00ff
102,Chain of hope,40.442523,-79.886213,"611 South Ave, Pittsburgh",,,,1,,,,TRAINING AND OTHER SERVICES,#ff00ff
103,Chatham University Career Services,40.4472529,-79.925723,"1171 Murray Hill Ave, Pittsburgh",,,,,1,,https://chatham.edu/student-experience/career-development/index.html,TRAINING AND OTHER SERVICES,#ff00ff
104,Clayton's Fashion House,40.4427586,-79.8822499,"792 Penn Ave, Pittsburgh",1,,,,,,,TRAINING AND OTHER SERVICES,#ff00ff
105,Clothes Line,40.4603653,-79.9469006,"4804 Liberty Ave, Pittsburgh",1,,,,,,http://www.clotheslineresale.org/,TRAINING AND OTHER SERVICES,#ff00ff
106,Clothes Minded,40.4612565,-79.9486541,"4740 Liberty Ave, Pittsburgh",1,,,,,,http://www.clothesmindedpgh.com/,TRAINING AND OTHER SERVICES,#ff00ff
107,Common Plea Catering,40.4594402,-79.9741481,"2945 Smallman St, Pittsburgh",,1,,,,,http://commonplea-catering.com/,TRAINING AND OTHER SERVICES,#ff00ff
108,Common Plea Catering,40.4618944,-79.961738,"3700 Liberty Ave, Pittsburgh",,1,,,,,https://www.commonplea-catering.com/,TRAINING AND OTHER SERVICES,#ff00ff
109,Community Alliance of Spring Garden East Deutschtown,40.4571275,-79.9915474,"800 Vinial St, Pittsburgh",,1,,,,,https://www.ca-sged.org/,TRAINING AND OTHER SERVICES,#ff00ff
110,Community Forge,40.4376775,-79.8744657,"1256 Franklin Ave, Pittsburgh",,,,,1,,http://www.forge.community/,TRAINING AND OTHER SERVICES,#ff00ff
111,Community Kitchen Pittsburgh,40.4101526,-79.943843,"107 Flowers Ave, Pittsburgh",,1,,,,,http://ckpgh.org/,TRAINING AND OTHER SERVICES,#ff00ff
112,Community Thrift Center,40.4293467,-80.0538924,"2226 Noblestown Rd, Pittsburgh",1,,,,,,http://communitythriftcenter.com/,TRAINING AND OTHER SERVICES,#ff00ff
113,Corps Community Center,40.429209,-79.990427,"44 S 9th St, Pittsburgh",,,,,1,,,TRAINING AND OTHER SERVICES,#ff00ff
114,County Assistance Office,40.4401149,-79.9994259,"342 Fifth Ave, Pittsburgh",,1,,,,,https://www.dhs.pa.gov/Services/Assistance/Pages/CAO-Contact.aspx,TRAINING AND OTHER SERVICES,#ff00ff
115,County Assistance Office — Greater Pittsburgh East District,40.461939,-79.9247295,"5947 Penn Ave, Pittsburgh",,1,,,,,http://www.dhs.pa.gov/citizens/findfacilsandlocs/countyassistanceofficecontactinformation/,TRAINING AND OTHER SERVICES,#ff00ff
116,Crafton Community Center,40.4344498,-80.0668289,"140 Bradford Ave, Pittsburgh",,,,,1,,,TRAINING AND OTHER SERVICES,#ff00ff
117,Crafton Community Farm,40.4382353,-80.0730054,"117 W Steuben St, Pittsburgh",,1,,,,,,TRAINING AND OTHER SERVICES,#ff00ff
118,Crafton Public Library,40.4343359,-80.0669642,"140 Bradford Ave, Pittsburgh",,,,,1,,http://craftonpubliclibrary.com/,TRAINING AND OTHER SERVICES,#ff00ff
119,Craftwork Kitchen,40.4413747,-79.9950284,"600 Grant St Concourse Level, Pittsburgh",,1,,,,,,TRAINING AND OTHER SERVICES,#ff00ff
120,Creative Financial Staffing,40.4399941,-80.0037033,"1, PPG Place Suite 1700, Pittsburgh",,,,,1,,http://www.cfstaffing.com/,TRAINING AND OTHER SERVICES,#ff00ff
121,Dormont Public Library,40.394167,-80.035958,"2950 W Liberty Ave, Pittsburgh",,,,,1,,http://dormontlibrary.org/,TRAINING AND OTHER SERVICES,#ff00ff
122,Dress For Success Pittsburgh,40.4553461,-79.9450248,"Research Lab Servcie, 5001 Baum Blvd, Pittsburgh",1,,,1,,,https://pittsburgh.dressforsuccess.org/,TRAINING AND OTHER SERVICES,#ff00ff
123,Duquesne University - Gumberg Library,40.437349,-79.991503,"600 Forbes Ave, Pittsburgh",,,,,1,,http://www.duq.edu/academics/gumberg-library,TRAINING AND OTHER SERVICES,#ff00ff
124,Earl Brooks Community Garden - GrowPittsburgh,40.4411875,-79.9655164,"222 Robinson St, Pittsburgh",,1,,,,,https://www.growpittsburgh.org/directory/garden/earl-brooks-community-garden,TRAINING AND OTHER SERVICES,#ff00ff
125,Earthen Vessels Outreach,40.4623519,-79.941408,"250 S Pacific Ave, Pittsburgh",,1,,,,,http://www.evo-pgh.org/page/contact-us,TRAINING AND OTHER SERVICES,#ff00ff
126,East End Community Thrift,40.465036,-79.9418579,"5123 Penn Ave, Pittsburgh",1,,,,,,http://www.thomasmertoncenter.org/thrifty/,TRAINING AND OTHER SERVICES,#ff00ff
127,East End Cooperative Ministry,40.4628401,-79.9218645,"6140 Station St, Pittsburgh",,1,,1,,,http://www.eecm.org/,TRAINING AND OTHER SERVICES,#ff00ff
128,East End Cooperative Ministry: Men's Emergency Shelter,40.446334,-79.8915362,"277 Penn Ave, Pittsburgh",,,,1,,,https://www.eecm.org/,TRAINING AND OTHER SERVICES,#ff00ff
129,East Hills Community Center,40.4542292,-79.86989,"2291 Wilner Dr, Pittsburgh",,,,,1,,,TRAINING AND OTHER SERVICES,#ff00ff
130,Eastfield Cooperative Garden,40.4694016,-79.9284302,"5543 Black St, Pittsburgh",,1,,,,,https://www.growpittsburgh.org/directory/garden/east-field-cooperative-garden,TRAINING AND OTHER SERVICES,#ff00ff
131,Eastfield Library,40.4692088,-79.9285225,"5543 Black St, Pittsburgh",,,,,1,,,TRAINING AND OTHER SERVICES,#ff00ff
132,Eastside Neighborhood Employment Center,40.4652237,-79.9400892,"113 N Pacific Ave, Pittsburgh",,,,,1,,http://www.enecpittsburgh.org/,TRAINING AND OTHER SERVICES,#ff00ff
133,Eden's Market a Gluten Free Emporium,40.380707,-80.044227,"99 Alfred St, Pittsburgh",,,1,,,,https://edens-market.com/,TRAINING AND OTHER SERVICES,#ff00ff
134,Educational Data Systems Inc,40.4401692,-79.9994709,"332 Fifth Ave #610, Pittsburgh",,,,,1,,,TRAINING AND OTHER SERVICES,#ff00ff
135,Einetwork,40.4432834,-79.9502225,"Carnegie Museum & Library, 4400 Forbes Ave, Pittsburgh",,,,,1,,https://www.einetwork.net/,TRAINING AND OTHER SERVICES,#ff00ff
136,Employment Alternatives Inc,40.457172,-79.9915189,"800 Vinial St Suite B313, Pittsburgh",,,,,1,,,TRAINING AND OTHER SERVICES,#ff00ff
137,Energy Innovation Center,40.4441981,-79.9886108,"1435 Bedford Ave, Pittsburgh",,,,,1,,http://www.eicpittsburgh.org/,TRAINING AND OTHER SERVICES,#ff00ff
138,Eons Fashion Antique,40.4569217,-79.929437,"5850 Ellsworth Ave, Pittsburgh",1,,,,,,https://www.facebook.com/pages/category/Vintage-Store/Eons-Fashion-Antique-91920114235/,TRAINING AND OTHER SERVICES,#ff00ff
139,Everest Kitchen,40.3678372,-79.9840696,"4042 Saw Mill Run Blvd, Pittsburgh",,1,,,,,http://www.everestkitchenpa.com/,TRAINING AND OTHER SERVICES,#ff00ff
140,Excela Health Employment Center,40.3011399,-79.5527994,"443 W Pittsburgh St, Greensburg",,,,,1,,https://www.excelahealth.org/locations/excela-health-employment-center/,TRAINING AND OTHER SERVICES,#ff00ff
141,Express Employment Professionals,40.4460398,-80.1510639,"6200 Steubenville Pike-Route, 60 Suite 201, Pittsburgh",,,,,1,,https://www.expresspros.com/wpittsburghpa/?utm_source=gmb&utm_medium=organic&utm_campaign=Qiigo,TRAINING AND OTHER SERVICES,#ff00ff
142,Express Employment Professionals,40.4137065,-79.8463826,"21 Yost Blvd Ste 156, Pittsburgh",,,,,1,,https://www.expresspros.com/pittsburgheastpa/?utm_source=gmb&utm_medium=organic&utm_campaign=Qiigo,TRAINING AND OTHER SERVICES,#ff00ff
143,Express Employment Professionals,40.3653497,-79.9823969,"4141 Brownsville Rd Ste 6, Pittsburgh",,,,,1,,https://www.expresspros.com/spittsburghpa/?utm_source=gmb&utm_medium=organic&utm_campaign=Qiigo,TRAINING AND OTHER SERVICES,#ff00ff
144,Express Employment Professionals,40.5161628,-80.037966,"1006 W View Park Dr, Pittsburgh",,,,,1,,https://www.expresspros.com/npittsburghpa/?utm_source=gmb&utm_medium=organic&utm_campaign=Qiigo,TRAINING AND OTHER SERVICES,#ff00ff
145,Family House Inc.,40.4553914,-79.9451826,"5001 Baum Blvd #545, Pittsburgh",,,,1,,,http://www.familyhouse.org/,TRAINING AND OTHER SERVICES,#ff00ff
146,Family House Shadyside,40.4557409,-79.940021,"5245 Centre Ave, Pittsburgh",,,,1,,,http://www.familyhouse.org/,TRAINING AND OTHER SERVICES,#0000ff
147,Family Promise of Southwestern PA,40.4386239,-80.0644703,"7 Oregon Ave, Pittsburgh",,,,1,,,http://www.familypromiseswpa.org/,TRAINING AND OTHER SERVICES,#0000ff
148,"Familylinks, Inc",40.4581244,-79.9224814,"250 Shady Ave, Pittsburgh",,,,1,,,http://www.familylinks.org/,TRAINING AND OTHER SERVICES,#0000ff
149,"Familylinks, Inc.",40.4650764,-79.9237823,"401 N Highland Ave, Pittsburgh",,,,1,,,https://familylinks.org/,TRAINING AND OTHER SERVICES,#0000ff
150,"Familylinks, Inc.",40.4385874,-79.9838299,"1601 Fifth Ave, Pittsburgh",,,,1,,,http://www.familylinks.org/,TRAINING AND OTHER SERVICES,#0000ff
151,"Familylinks, Inc.",40.405717,-80.037594,"2644 Banksville Rd, Pittsburgh",,,,1,,,http://www.familylinks.org/,TRAINING AND OTHER SERVICES,#0000ff
152,First American Title Agency Services,40.4376887,-79.9976353,"310 Grant St Suite 1601, Pittsburgh",,,,,1,,http://www.firstam.com/Title/Agency/PA?utm_source=google-my-business&utm_medium=organic&utm_campaign=agency-local-search&utm_content=pennsylvania,TRAINING AND OTHER SERVICES,#0000ff
153,First American Title Insurance Co,40.4544383,-80.2009007,"113 Technology Dr, Pittsburgh",,,,,1,,https://www.firstam.com/,TRAINING AND OTHER SERVICES,#0000ff
154,First American Title Insurance Company - National Commercial Services,40.4388242,-79.9984945,"One Oxford Centre, 310 Grant St, Pittsburgh",,,,,1,,http://www.firstam.com/title/commercial/pa-pittsburgh/?utm_source=google-my-business&utm_medium=organic&utm_campaign=commercial-local-search&utm_content=pennsylvania,TRAINING AND OTHER SERVICES,#0000ff
155,First Source Center,40.4436588,-79.980494,"1835 Centre Ave, Pittsburgh",,,,,1,,https://www.lowerhillredevelopment.com/first-source-center.html,TRAINING AND OTHER SERVICES,#0000ff
156,"Fishes and Loaves Cooperative Ministries,",40.407554,-79.942005,"131 E Elizabeth St, Pittsburgh",,1,,,,,https://fishes-and-loaves-hazelwood.org/,TRAINING AND OTHER SERVICES,#0000ff
157,Food Distribution Center - Bethlehem Haven,40.4386542,-79.9907791,Pittsburgh,,1,,1,,,http://www.bethlehemhaven.org/,TRAINING AND OTHER SERVICES,#0000ff
158,Food Distribution Center - Better Living Community Center,40.4444881,-79.8842795,"105 Wood St, Pittsburgh",,1,,,,,,TRAINING AND OTHER SERVICES,#0000ff
159,"Food Distribution Center - Brashear Association, Inc",40.427911,-79.977422,"2005 Sarah St, Pittsburgh",,1,,,,,http://www.brashearassociation.org/,TRAINING AND OTHER SERVICES,#0000ff
160,Food Distribution Center - Catholic Community Of Bloomfield Food Pantry,40.4617406,-79.9498665,"4712 Liberty Ave, Pittsburgh",,1,,,,,,TRAINING AND OTHER SERVICES,#0000ff
161,Food Distribution Center - Chain of Hope Food Pantry,40.4425237,-79.8861833,"611 South Ave, Pittsburgh",,1,,,,,,TRAINING AND OTHER SERVICES,#0000ff
162,Food Distribution Center - Cloverleaf Area Ecumenical Assistance Program,40.3447609,-79.9709945,"1 Grove Pl, Pittsburgh",,1,,,,,,TRAINING AND OTHER SERVICES,#0000ff
163,Food Distribution Center - Community Human Services Corporation,40.4333495,-79.9612866,"374 Lawn St, Pittsburgh",,1,,,,,,TRAINING AND OTHER SERVICES,#0000ff
164,Food Distribution Center - Community Technical Assistance Center,40.4517037,-80.0166021,"Allegheny Court Building, 901 Western Ave, Pittsburgh",,1,,,,,,TRAINING AND OTHER SERVICES,#0000ff
165,Food Distribution Center - Earthen Vessels Outreach,40.467202,-79.9444526,"250 S Pacific Ave, Pittsburgh",,1,,,,,http://www.evo-pgh.org/,TRAINING AND OTHER SERVICES,#0000ff
166,Food Distribution Center - Family Care Connection Lawrenceville,40.4812553,-79.9540091,"5235 Butler St, Pittsburgh",,1,,,,,,TRAINING AND OTHER SERVICES,#0000ff
167,Food Distribution Center - Grow Pittsburgh,40.464994,-79.9352068,"5429 Penn Ave, Pittsburgh",,1,,,,,http://www.growpittsburgh.org/,TRAINING AND OTHER SERVICES,#0000ff
168,Food Distribution Center - Hamilton-larimer Liberty Park Bjwl Children's Program,40.4632924,-79.9209992,"326 Collins St, Pittsburgh",,1,,,,,,TRAINING AND OTHER SERVICES,#0000ff
169,Food Distribution Center - Henry Kaufmann Center,40.4191632,-79.9754482,"2201 Salisbury St, Pittsburgh",,1,,,,,,TRAINING AND OTHER SERVICES,#0000ff
170,Food Distribution Center - Homewood/salvation Army,40.4553726,-79.8835844,"8020 Frankstown Ave, Pittsburgh",,1,,,,,,TRAINING AND OTHER SERVICES,#0000ff
171,Food Distribution Center - Hunger Services Network,40.4659896,-79.9646,"204 37th St, Pittsburgh",,1,,,,,,TRAINING AND OTHER SERVICES,#0000ff
172,Food Distribution Center - Jubilee Association,40.4384459,-79.9773254,"2005 Wyandotte St, Pittsburgh",,1,,,,,,TRAINING AND OTHER SERVICES,#0000ff
173,Food Distribution Center - Light Of Life Rescue Mission,40.45167,-80.0170299,"913 Western Ave, Pittsburgh",,1,,,,,http://www.lightoflife.org/,TRAINING AND OTHER SERVICES,#0000ff
174,Food Distribution Center - Lincoln Park Community Center Food Pantry,40.4676338,-79.8858452,"7300 Ridgeview Ave, Pittsburgh",,1,,,,,http://www.lincolnparkcommunitycenter.com,TRAINING AND OTHER SERVICES,#0000ff
175,Food Distribution Center - Network Of Hope,40.4769714,-80.0125476,"3035 Perrysville Ave, Pittsburgh",,1,,,,,http://networkofhope.org/,TRAINING AND OTHER SERVICES,#0000ff
176,Food Distribution Center - New Life Fellowship,40.443036,-80.042416,"920 Lorenz Ave, Pittsburgh",,1,,,,,,TRAINING AND OTHER SERVICES,#0000ff
177,Food Distribution Center - North Hills Community Outreach,40.499119,-80.062276,"939 California Ave, Pittsburgh",,1,,,,,http://www.nhco.org/,TRAINING AND OTHER SERVICES,#0000ff
178,Food Distribution Center - Northside Common Ministries,40.4543466,-80.0283415,Pittsburgh,,1,,,,,http://www.trfn.clpgh.org/ncm/index.shtml,TRAINING AND OTHER SERVICES,#0000ff
179,Food Distribution Center - Penn Hills Service Association,40.4709461,-79.7888824,"2519 Main St, Pittsburgh",,1,,,,,,TRAINING AND OTHER SERVICES,#0000ff
180,Food Distribution Center - Riverview Presbyterian,40.5319999,-79.99396,"134 Sunset Dr, Pittsburgh",,1,,,,,,TRAINING AND OTHER SERVICES,#0000ff
181,Food Distribution Center - Riverview Up Church,40.484128,-80.014404,"3505 Perrysville Ave, Pittsburgh",,1,,,,,,TRAINING AND OTHER SERVICES,#0000ff
182,Food Distribution Center - Saint Paul Cathedral Food Pantry,40.4471608,-79.9505097,"108 N Dithridge St, Pittsburgh",,1,,,,,,TRAINING AND OTHER SERVICES,#0000ff
183,Food Distribution Center - Valley Presbyterian Church Food Pantry,40.4706235,-79.9327936,"Black St, Pittsburgh",,1,,,,,,TRAINING AND OTHER SERVICES,#0000ff
184,Food Distribution Center - Wallace Ave. Soup Kitchen,40.4438507,-79.8816887,"751 Wallace Ave, Pittsburgh",,1,,,,,,TRAINING AND OTHER SERVICES,#0000ff
185,Food Distribution Center - Wfsc Pantry,40.4433473,-79.8803719,"807 Wallace Ave, Pittsburgh",,1,,,,,,TRAINING AND OTHER SERVICES,#0000ff
186,Food Distribution Center - Wilkinsburg Community Ministry,40.4414316,-79.8858182,"704 Wood St, Pittsburgh",,1,,,,,http://www.wcm15221.org/,TRAINING AND OTHER SERVICES,#0000ff
187,Food Distribution Center - crafton-Ingram Food Pantry,40.433158,-80.064834,"80 Bradford Ave, Pittsburgh",,1,,,,,http://www.craftonup.com/,TRAINING AND OTHER SERVICES,#0000ff
188,Food Pantry,40.4580489,-80.0163969,"1601 Brighton Rd, Pittsburgh",,1,,,,,http://www.ncmin.org/,TRAINING AND OTHER SERVICES,#0000ff
189,Foster Love Project,40.3961036,-80.0349553,Pittsburgh,1,,,,,,http://fosterloveproject.org/,TRAINING AND OTHER SERVICES,#0000ff
190,Free People,40.4572086,-79.9164697,"6425 Penn Ave, Pittsburgh",,,1,,,,https://www.freepeople.com/stores/bakery-square-pittsburgh/,TRAINING AND OTHER SERVICES,#0000ff
191,Free People,40.5423617,-80.0081383,"Ross Park Mall, 1000 Ross Park Mall Dr, Pittsburgh",,,1,,,,https://www.freepeople.com/stores/ross-park-pittsburgh/,TRAINING AND OTHER SERVICES,#0000ff
192,Free Store Wilkinsburg,40.4439682,-79.8850798,"619 Penn Ave, Pittsburgh",1,,1,,,,https://www.freestorewilkinsburg.org/,TRAINING AND OTHER SERVICES,#0000ff
193,FreeRide Bicycle Collective,40.4502316,-79.8985398,"214 N Lexington St, Pittsburgh",,,1,,,,http://freeridepgh.org,TRAINING AND OTHER SERVICES,#0000ff
194,Fulton Commons,40.4560928,-80.0249786,"1546 Fulton St, Pittsburgh",,1,,,,,http://fultonpgh.com/,TRAINING AND OTHER SERVICES,#0000ff
195,Garden Resource Center - Grow Pittsburgh,40.459693,-79.912875,"147 Putnam St, Pittsburgh",,1,,,,,http://www.growpittsburgh.org/garden-and-farm-resources/garden-resource-center/,TRAINING AND OTHER SERVICES,#0000ff
196,Garden of Etna,40.496077,-79.945871,"9 Short Alley, Pittsburgh",,1,,,,,,TRAINING AND OTHER SERVICES,#0000ff
197,Garfield Community Farm,40.4690683,-79.9351849,"509 Wicklow St, Pittsburgh",,1,,,,,http://garfieldfarm.com/,TRAINING AND OTHER SERVICES,#0000ff
198,Genesis House,40.500216,-80.051208,"185 Dakota Ave, Pittsburgh",,,,1,,,https://www.genesispgh.org/genesis-house,TRAINING AND OTHER SERVICES,#0000ff
199,Ginger Snap Hair Studio,40.4541284,-79.9818402,"2343 Smallman St STE 6, Pittsburgh",,1,,,,,http://www.gingersnaphairstudio.com/,TRAINING AND OTHER SERVICES,#0000ff
200,Goodwill,40.4621294,-79.8253835,"11660 Keleket Dr, Pittsburgh",1,,,,,,https://www.goodwillswpa.org/,TRAINING AND OTHER SERVICES,#0000ff
201,Goodwill,40.4574277,-80.1654579,"3 Urbano Way, Pittsburgh",1,,,,,,https://www.goodwillswpa.org/,TRAINING AND OTHER SERVICES,#0000ff
202,Goodwill,40.5370726,-80.0127482,"7221 McKnight Rd #1, Pittsburgh",1,,,,,,https://www.goodwillswpa.org/,TRAINING AND OTHER SERVICES,#0000ff
