,NAME,LATITUDE,LONGITUDE,hov_txt,CLOTHING,FOOD,HOUSEHOLD GOODS,HOUSING,TRAINING AND OTHER SERVICES,NOTES,WEBSITE,type,color
430,University Center,40.4397275,-80.0008597,"414 Wood St, Pittsburgh",,,,,1,,http://www.pointpark.edu/Academics/AcademicResources/Library,TRAINING AND OTHER SERVICES,#824100
431,University of Pittsburgh - Bevier Engineering Library,40.4440676,-79.9578544,"G33 Benedum Hall, 3700 O'Hara St, Pittsburgh",,,,,1,,https://www.library.pitt.edu/engineering,TRAINING AND OTHER SERVICES,#824100
432,University of Pittsburgh - Frick Fine Arts Library,40.4416574,-79.9512415,"650 Schenley Drive, Pittsburgh",,,,,1,,http://www.pitt.edu/,TRAINING AND OTHER SERVICES,#824100
433,University of Pittsburgh - Health Sciences Library,40.4428672,-79.9614028,"200 Scaife Hall, 3550 Terrace St, Pittsburgh",,,,,1,,https://www.hsls.pitt.edu/,TRAINING AND OTHER SERVICES,#824100
434,University of Pittsburgh - Theodore M Finney Music Library,40.4466255,-79.9523063,"Music Building, 28B, Pittsburgh",,,,,1,,https://www.library.pitt.edu/music,TRAINING AND OTHER SERVICES,#824100
435,Upmc Vocational Training Center,40.4294644,-79.9880135,"1029 Bingham St, Pittsburgh",,,,,1,,https://www.upmc.com/services/behavioral-health/autism/adult/vocational-training,TRAINING AND OTHER SERVICES,#824100
436,Upstream Coding,40.4636674,-79.926716,"224 N Euclid Ave fl 2, Pittsburgh",,,,,1,,https://www.upstreamcoding.com/,TRAINING AND OTHER SERVICES,#824100
437,Veterans Services,40.4450029,-79.9564246,"4141 Fifth Ave 3rd Floor, Pittsburgh",,1,,,,,https://www.alleghenycounty.us/veterans/index.aspx,TRAINING AND OTHER SERVICES,#824100
438,Vietnam Veterans of America,40.4107437,-80.0064056,"890 Saw Mill Run Blvd, Pittsburgh",1,,,,,,https://pickupplease.org/donate-in-pittsburgh/,TRAINING AND OTHER SERVICES,#824100
439,Vietnam Veterans of America – Free Donation Pickup in Pittsburgh (Saw Mill Run),40.410744,-80.006406,"890 Saw Mill Run Blvd, Pittsburgh",1,,,,,,https://pickupplease.org/donate-in-pittsburgh,TRAINING AND OTHER SERVICES,#824100
440,Vocational Rehabilitation Office,40.440551,-80.0061829,"300 Liberty Ave, Pittsburgh",,,,,1,,https://www.dli.pa.gov/Individuals/Disability-Services/ovr/Pages/default.aspx,TRAINING AND OTHER SERVICES,#824100
441,Volt Workforce Solutions,40.4463893,-80.0105142,"322 N Shore Dr, Pittsburgh",,,,,1,,http://www.volt.com/,TRAINING AND OTHER SERVICES,#824100
442,Volunteers of America,40.4948118,-79.9238191,"1650 Main St # 1, Pittsburgh",,,,1,,,https://www.voapa.org/,TRAINING AND OTHER SERVICES,#824100
443,Wadsworth Hall Community Center,40.4427575,-79.9697218,"480 Oak Hill Dr, Pittsburgh",,,,,1,,,TRAINING AND OTHER SERVICES,#824100
444,Walk In Closet Clothing & Accessories,40.4217614,-79.9971682,"603 E Warrington Ave, Pittsburgh",1,,,,,,,TRAINING AND OTHER SERVICES,#824100
445,"Ward Home, Inc.",40.4601713,-79.9329628,"324 S Negley Ave, Pittsburgh",,,,1,,,http://www.auberle.org/wardhome,TRAINING AND OTHER SERVICES,#824100
446,Wellsprings,40.438473,-79.991527,"903 Watson St, Pittsburgh",,,,1,,,,TRAINING AND OTHER SERVICES,#824100
447,West End Works Neighborhood Employment Center,40.443254,-80.041335,"825 Lorenz Ave, Pittsburgh",,,,,1,,https://www.facebook.com/westendworks.nec.3,TRAINING AND OTHER SERVICES,#824100
448,West Penn Community Parking Lot,40.4551651,-79.9703664,"Haran St, Pittsburgh",,1,,,,,,TRAINING AND OTHER SERVICES,#824100
449,West Penn Community Recreation Center,40.4557734,-79.9693622,"450 30th St, Pittsburgh",,,,,1,,https://pittsburghpa.gov/citiparks/rec-centers,TRAINING AND OTHER SERVICES,#824100
450,Western Pa Hospital Medical Library,40.4614529,-79.9463637,"4800 Friendship Ave, Pittsburgh",,,,,1,,,TRAINING AND OTHER SERVICES,#824100
451,Wilkins School Community Center,40.4301837,-79.8930053,"7604 Charleston Ave, Pittsburgh",,,,,1,,http://www.wsccpgh.org/,TRAINING AND OTHER SERVICES,#824100
452,Wilkinsburg Community Ministry,40.4414316,-79.8858182,"704 Wood St, Pittsburgh",,1,,,,,http://www.wcm15221.org/,TRAINING AND OTHER SERVICES,#824100
453,Wilkinsburg Family Support Center,40.4437117,-79.8805456,"807 Wallace Ave Suite 205, Pittsburgh",,,,1,,,http://wfsc1994.org/,TRAINING AND OTHER SERVICES,#824100
454,Wilkinsburg Public Library,40.4433702,-79.8858354,"605 Ross Ave, Pittsburgh",,,,,1,,http://www.wilkinsburglibrary.org/,TRAINING AND OTHER SERVICES,#824100
455,Wilkinsburg WIC Clinic,40.4437708,-79.8805204,"Hosanna House, 807 Wallace Ave #204a, Pittsburgh",,1,,,,,"https://www.alleghenycounty.us/Health-Department/Health-Services/Women,-Infants-and-Children/Women-Infants-and-Children-Program.aspx",TRAINING AND OTHER SERVICES,#824100
456,Womanspace East,40.4380434,-79.9775153,"2000 Fifth Ave, Pittsburgh",,,,1,,,https://www.wseinc.org/,TRAINING AND OTHER SERVICES,#824100
457,Women & Girls Foundation-Swp,40.4662502,-79.9644501,"3700 Butler St Studio C, Pittsburgh",,,,1,,,http://wgfpa.org/,TRAINING AND OTHER SERVICES,#824100
458,Workforce,40.4855918,-79.7776303,"703 Millers Ln, Pittsburgh",,,,,1,,http://www.workingtogetherworks.net/,TRAINING AND OTHER SERVICES,#824100
459,YWCA,40.458441,-79.903288,"6907 Frankstown Ave, Pittsburgh",,,,1,,,https://www.ywcapgh.org/contact-us,TRAINING AND OTHER SERVICES,#824100
460,YWCA Greater Pittsburgh,40.4392206,-80.0017051,"305 Wood St, Pittsburgh",,,,1,,,http://www.ywcapgh.org/,TRAINING AND OTHER SERVICES,#824100
461,"Youth Advocate Programs, Inc",40.4301129,-79.9966195,"26 Terminal Way, Pittsburgh",,,,1,,,https://www.yapinc.org/,TRAINING AND OTHER SERVICES,#824100
